IDInteractorA,IDInteractorB
entrez gene/locuslink:177286,entrez gene/locuslink:179791
entrez gene/locuslink:177286,entrez gene/locuslink:178104
entrez gene/locuslink:179437,entrez gene/locuslink:179795
entrez gene/locuslink:179437,entrez gene/locuslink:180819
entrez gene/locuslink:179437,entrez gene/locuslink:175638
entrez gene/locuslink:179437,entrez gene/locuslink:178732
entrez gene/locuslink:179439,entrez gene/locuslink:179439
entrez gene/locuslink:179439,entrez gene/locuslink:179256
entrez gene/locuslink:179439,entrez gene/locuslink:176105
entrez gene/locuslink:179439,entrez gene/locuslink:172263
entrez gene/locuslink:179439,entrez gene/locuslink:179162
entrez gene/locuslink:179439,entrez gene/locuslink:183777
entrez gene/locuslink:179439,entrez gene/locuslink:181022
entrez gene/locuslink:179439,entrez gene/locuslink:178647
entrez gene/locuslink:179439,entrez gene/locuslink:179944
entrez gene/locuslink:179439,entrez gene/locuslink:181340
entrez gene/locuslink:179439,entrez gene/locuslink:175207
entrez gene/locuslink:179439,entrez gene/locuslink:177321
entrez gene/locuslink:179439,entrez gene/locuslink:181574
entrez gene/locuslink:179439,entrez gene/locuslink:175753
entrez gene/locuslink:179439,entrez gene/locuslink:186142
entrez gene/locuslink:179439,entrez gene/locuslink:186143
entrez gene/locuslink:179439,entrez gene/locuslink:186214
entrez gene/locuslink:179439,entrez gene/locuslink:176902
entrez gene/locuslink:179439,entrez gene/locuslink:179200
entrez gene/locuslink:179439,entrez gene/locuslink:178211
entrez gene/locuslink:179439,entrez gene/locuslink:178870
entrez gene/locuslink:179439,entrez gene/locuslink:177524
entrez gene/locuslink:179439,entrez gene/locuslink:187933
entrez gene/locuslink:179439,entrez gene/locuslink:179535
entrez gene/locuslink:179439,entrez gene/locuslink:181284
entrez gene/locuslink:179439,entrez gene/locuslink:188694
entrez gene/locuslink:179439,entrez gene/locuslink:188757
entrez gene/locuslink:179439,entrez gene/locuslink:173053
entrez gene/locuslink:179439,entrez gene/locuslink:189167
entrez gene/locuslink:179439,entrez gene/locuslink:180264
entrez gene/locuslink:179439,entrez gene/locuslink:178377
entrez gene/locuslink:179439,entrez gene/locuslink:190560
entrez gene/locuslink:179439,entrez gene/locuslink:180221
entrez gene/locuslink:179439,entrez gene/locuslink:172901
entrez gene/locuslink:179439,entrez gene/locuslink:174464
entrez gene/locuslink:179439,entrez gene/locuslink:173288
entrez gene/locuslink:174006,entrez gene/locuslink:173668
entrez gene/locuslink:174006,entrez gene/locuslink:173846
entrez gene/locuslink:178043,entrez gene/locuslink:172831
entrez gene/locuslink:178043,entrez gene/locuslink:173846
entrez gene/locuslink:181823,entrez gene/locuslink:181823
entrez gene/locuslink:172977,entrez gene/locuslink:175796
entrez gene/locuslink:172977,entrez gene/locuslink:175801
entrez gene/locuslink:172977,entrez gene/locuslink:172822
entrez gene/locuslink:172977,entrez gene/locuslink:173389
entrez gene/locuslink:172977,entrez gene/locuslink:179787
entrez gene/locuslink:172977,entrez gene/locuslink:177591
entrez gene/locuslink:172977,entrez gene/locuslink:171800
entrez gene/locuslink:172977,entrez gene/locuslink:175925
entrez gene/locuslink:172977,entrez gene/locuslink:171602
entrez gene/locuslink:172977,entrez gene/locuslink:180748
entrez gene/locuslink:172977,entrez gene/locuslink:179645
entrez gene/locuslink:172977,entrez gene/locuslink:181004
entrez gene/locuslink:172977,entrez gene/locuslink:187217
entrez gene/locuslink:172977,entrez gene/locuslink:176399
entrez gene/locuslink:172977,entrez gene/locuslink:176071
entrez gene/locuslink:172977,entrez gene/locuslink:179569
entrez gene/locuslink:172977,entrez gene/locuslink:181610
entrez gene/locuslink:172977,entrez gene/locuslink:178221
entrez gene/locuslink:172977,entrez gene/locuslink:188854
entrez gene/locuslink:172977,entrez gene/locuslink:173232
entrez gene/locuslink:172268,entrez gene/locuslink:180896
entrez gene/locuslink:172268,entrez gene/locuslink:180718
entrez gene/locuslink:172268,entrez gene/locuslink:173818
entrez gene/locuslink:172268,entrez gene/locuslink:171788
entrez gene/locuslink:191743,entrez gene/locuslink:175792
entrez gene/locuslink:191743,entrez gene/locuslink:177342
entrez gene/locuslink:191743,entrez gene/locuslink:179743
entrez gene/locuslink:191743,entrez gene/locuslink:175638
entrez gene/locuslink:191743,entrez gene/locuslink:176914
entrez gene/locuslink:191743,entrez gene/locuslink:172581
entrez gene/locuslink:191743,entrez gene/locuslink:174165
entrez gene/locuslink:191743,entrez gene/locuslink:181340
entrez gene/locuslink:191743,entrez gene/locuslink:177839
entrez gene/locuslink:191743,entrez gene/locuslink:179240
entrez gene/locuslink:191743,entrez gene/locuslink:174768
entrez gene/locuslink:191743,entrez gene/locuslink:175443
entrez gene/locuslink:191743,entrez gene/locuslink:176000
entrez gene/locuslink:191743,entrez gene/locuslink:177921
entrez gene/locuslink:191743,entrez gene/locuslink:259963
entrez gene/locuslink:191743,entrez gene/locuslink:179535
entrez gene/locuslink:191743,entrez gene/locuslink:172302
entrez gene/locuslink:191743,entrez gene/locuslink:178139
entrez gene/locuslink:191743,entrez gene/locuslink:178732
entrez gene/locuslink:191743,entrez gene/locuslink:174924
entrez gene/locuslink:191743,entrez gene/locuslink:180181
entrez gene/locuslink:191743,entrez gene/locuslink:190707
entrez gene/locuslink:178914,entrez gene/locuslink:172074
entrez gene/locuslink:178914,entrez gene/locuslink:173846
entrez gene/locuslink:178914,entrez gene/locuslink:180264
entrez gene/locuslink:178912,entrez gene/locuslink:174323
entrez gene/locuslink:181891,entrez gene/locuslink:182643
entrez gene/locuslink:181891,entrez gene/locuslink:179522
entrez gene/locuslink:181891,entrez gene/locuslink:176743
entrez gene/locuslink:175993,entrez gene/locuslink:175993
entrez gene/locuslink:175993,entrez gene/locuslink:177706
entrez gene/locuslink:175993,entrez gene/locuslink:177374
entrez gene/locuslink:175993,entrez gene/locuslink:174826
entrez gene/locuslink:173772,entrez gene/locuslink:173772
entrez gene/locuslink:173773,entrez gene/locuslink:173773
entrez gene/locuslink:173773,entrez gene/locuslink:185757
entrez gene/locuslink:176221,entrez gene/locuslink:178028
entrez gene/locuslink:175801,entrez gene/locuslink:178732
entrez gene/locuslink:176031,entrez gene/locuslink:174456
entrez gene/locuslink:175628,entrez gene/locuslink:176011
entrez gene/locuslink:172247,entrez gene/locuslink:180059
entrez gene/locuslink:181158,entrez gene/locuslink:173374
entrez gene/locuslink:176328,entrez gene/locuslink:178042
entrez gene/locuslink:176328,entrez gene/locuslink:175801
entrez gene/locuslink:176328,entrez gene/locuslink:172253
entrez gene/locuslink:176328,entrez gene/locuslink:179971
entrez gene/locuslink:176328,entrez gene/locuslink:175098
entrez gene/locuslink:176328,entrez gene/locuslink:172219
entrez gene/locuslink:176328,entrez gene/locuslink:178064
entrez gene/locuslink:176328,entrez gene/locuslink:179275
entrez gene/locuslink:176328,entrez gene/locuslink:190025
entrez gene/locuslink:176331,entrez gene/locuslink:176054
entrez gene/locuslink:182010,entrez gene/locuslink:177342
entrez gene/locuslink:182010,entrez gene/locuslink:172597
entrez gene/locuslink:182010,entrez gene/locuslink:177440
entrez gene/locuslink:182010,entrez gene/locuslink:174662
entrez gene/locuslink:179256,entrez gene/locuslink:174236
entrez gene/locuslink:179256,entrez gene/locuslink:172195
entrez gene/locuslink:179256,entrez gene/locuslink:174371
entrez gene/locuslink:179256,entrez gene/locuslink:172335
